Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRB,STRN,T10,LANK,LTHI
21,0.025396,0,0,0,0,0.0446425,0,0,0,0,0,0,0.032963,0,0.0722875,0,0,0.016539,0,0,0.0348889,0.0740447,0.0218815,0.0119929,0.0164841,0.0278093,0.0294825,0.0370396,0.0477133,0.0332205,0.0148281,0.0163147,0.0288896,0.0304604,0.0146315,0.0157812,0.00837913,0.0137933,0.0418389,0,0.010722,0.0678253,0.031916,0,0,0.0264649,0,0,0.0249284,0.0528248,0.0325143,0.0280517,0.0103679,0.0458878,0.0317254,0.0362095,0.0641019,0.0258174,0.0660915,0.0382629,0.0442482,0.106958,0.0149066,0.0361844,0.0262309,0.0267356,0.023438,0.0208708,0.0305702
22,0.0253589,0,0,0,0,0.0445783,0,0,0,0,0,0,0.032965,0,0.072295,0,0,0.0165493,0,0,0.0349111,0.0740196,0.0218333,0.0119822,0.0164659,0.0278057,0.0294476,0.037071,0.047715,0.0331921,0.0148357,0.0163181,0.0288491,0.0304716,0.0146186,0.015769,0.00838368,0.0138076,0.0417979,0,0.0107283,0.0678008,0.0318706,0,0,0.0266109,0,0,0.0249018,0.0528421,0.0325122,0.0280335,0.0103915,0.0459061,0.0317459,0.0364973,0.0641059,0.0258675,0.0660725,0.0382823,0.0442206,0.106942,0.0149193,0.0359332,0.0261895,0.0266828,0.0234746,0.0208542,0.0305298
23,0.0253034,0,0,0,0,0.0445477,0,0,0,0,0,0,0.0329271,0,0.0723367,0,0,0.0165554,0,0,0.0349092,0.0740058,0.0217987,0.0119901,0.0164471,0.0278205,0.0293691,0.0370966,0.0477012,0.0331698,0.0148509,0.016272,0.028783,0.0304464,0.0146396,0.0157674,0.00839126,0.0138057,0.0417536,0,0.010729,0.0677812,0.0318554,0,0,0.0266774,0,0,0.0249116,0.0528607,0.0324921,0.0280172,0.0104178,0.0459119,0.031782,0.0368427,0.0640873,0.02586,0.0660769,0.0383004,0.0442022,0.106933,0.0149049,0.0359295,0.0262126,0.026651,0.0235183,0.0208409,0.030502
24,0.0252535,0,0,0,0,0.0445447,0,0,0,0,0,0,0.0328871,0,0.0723757,0,0,0.0165621,0,0,0.03489,0.0739972,0.0217549,0.0119947,0.0164536,0.0278486,0.0293162,0.0371319,0.0476971,0.0331756,0.0148376,0.0161639,0.0287584,0.0303978,0.0147048,0.0157702,0.00839959,0.0138194,0.0417139,0,0.0107193,0.0677934,0.0318518,0,0,0.026614,0,0,0.0249465,0.0528624,0.0324859,0.0279841,0.010448,0.0459173,0.0317757,0.0370108,0.064078,0.0258375,0.0661105,0.0382958,0.0441834,0.106939,0.0149015,0.0360626,0.0262452,0.0266491,0.0235529,0.0208293,0.0304912
25,0.0252132,0,0,0,0,0.0445333,0,0,0,0,0,0,0.0328433,0,0.0723884,0,0,0.016594,0,0,0.03488,0.074002,0.0216975,0.0119787,0.0164691,0.0278902,0.0292901,0.0371795,0.0477096,0.0331833,0.0147687,0.0161445,0.0287357,0.0303718,0.0147161,0.0157921,0.00839923,0.0138608,0.0416631,0,0.0107405,0.0678122,0.0318554,0,0,0.0265018,0,0,0.0249614,0.052853,0.032505,0.0279615,0.0104721,0.0459174,0.0317592,0.0370263,0.064062,0.025803,0.0661415,0.0382999,0.0441695,0.106939,0.0149184,0.0360106,0.026252,0.0266659,0.0235895,0.0208475,0.0305002
26,0.025145,0,0,0,0,0.0445275,0,0,0,0,0,0,0.0327936,0,0.0724016,0,0,0.0166422,0,0,0.034904,0.0739976,0.0216534,0.0119506,0.0164682,0.0279224,0.0292837,0.037233,0.0477055,0.0331808,0.0147033,0.0160421,0.0287395,0.0303372,0.0147198,0.0158256,0.00837838,0.0139218,0.0416181,0,0.0107714,0.067806,0.0318437,0,0,0.0264789,0,0,0.0249293,0.0528593,0.0325304,0.0279116,0.0104913,0.045915,0.0317955,0.0371618,0.0640586,0.025773,0.0661412,0.0383159,0.0441333,0.106932,0.0149276,0.0361601,0.0262888,0.0266614,0.0236315,0.0208613,0.0305694
27,0.0250824,0,0,0,0,0.0444954,0,0,0,0,0,0,0.0327291,0,0.0724219,0,0,0.0166598,0,0,0.0349288,0.0739848,0.0216262,0.0119329,0.016471,0.0279437,0.0292699,0.0372834,0.0476975,0.0331671,0.0146614,0.0159544,0.0287218,0.0302928,0.0147346,0.015832,0.00835128,0.0139671,0.0415859,0,0.0107861,0.0677956,0.0318322,0,0,0.0264943,0,0,0.0249649,0.0528232,0.0325365,0.0278815,0.0105072,0.0459307,0.0318294,0.0372431,0.064058,0.0257501,0.0661281,0.0383749,0.0440867,0.106923,0.0149248,0.0362941,0.0263082,0.0266544,0.0236728,0.0208708,0.0306044
28,0.0250026,0,0,0,0,0.0444654,0,0,0,0,0,0,0.0326577,0,0.0724408,0,0,0.0166299,0,0,0.0348884,0.0739675,0.0215889,0.0119253,0.0164881,0.0279779,0.0292605,0.0372839,0.0477212,0.033183,0.0146313,0.0158896,0.0286838,0.0302507,0.0147779,0.0158083,0.00828819,0.0139809,0.0415187,0,0.0108132,0.0677791,0.0318207,0,0,0.0264857,0,0,0.025046,0.0526833,0.0325205,0.0278753,0.0105202,0.0459533,0.0318833,0.037359,0.0640572,0.0257585,0.0661109,0.0383726,0.0440941,0.10691,0.0149251,0.0363348,0.0263251,0.0266345,0.0237326,0.02087,0.0306201
29,0.0249151,0,0,0,0,0.0444385,0,0,0,0,0,0,0.0325812,0,0.0724239,0,0,0.0166137,0,0,0.0348779,0.0739751,0.0215292,0.0119148,0.0164951,0.028024,0.0292388,0.0372595,0.0477563,0.0331918,0.0145371,0.0158819,0.0286739,0.0302054,0.0148122,0.0157652,0.00823335,0.0139804,0.0414469,0,0.0108442,0.067772,0.0318239,0,0,0.0264151,0,0,0.0250585,0.052527,0.0324987,0.0278415,0.0105364,0.0459716,0.0319265,0.0375632,0.0640586,0.0257625,0.0660988,0.0383691,0.0441044,0.106896,0.0149196,0.0363049,0.0263533,0.0266005,0.0237756,0.0208654,0.0306752
30,0.0248458,0,0,0,0,0.044431,0,0,0,0,0,0,0.0325368,0,0.0723726,0,0,0.01668,0,0,0.0349295,0.0739922,0.021403,0.0118902,0.0164927,0.0280806,0.0291981,0.0372793,0.0477949,0.0332136,0.014472,0.0159187,0.0286968,0.0301626,0.0147836,0.0157661,0.00831728,0.013985,0.0414699,0,0.0108566,0.0677916,0.0318523,0,0,0.0263303,0,0,0.0250496,0.0524085,0.0325224,0.0278404,0.0105518,0.0459936,0.0319557,0.0371282,0.0640405,0.0257577,0.0660489,0.0383998,0.0441302,0.106883,0.0149473,0.0362685,0.0263867,0.0265846,0.0238027,0.0209126,0.0307734
31,0.0248174,0,0,0,0,0.044446,0,0,0,0,0,0,0.0325186,0,0.0722932,0,0,0.0167023,0,0,0.0348628,0.0740184,0.021342,0.0118718,0.0165382,0.0281401,0.0291674,0.0373282,0.0478807,0.0332666,0.0144542,0.0158854,0.0287372,0.0301287,0.0147227,0.0158114,0.00832047,0.0139487,0.0416008,0,0.0108293,0.067833,0.0318828,0,0,0.0262738,0,0,0.0250837,0.052263,0.0325899,0.0279183,0.0105727,0.0460342,0.0319493,0.0356785,0.0640109,0.0256814,0.0659283,0.038406,0.0440937,0.106867,0.015012,0.0362702,0.0264106,0.0266068,0.0238257,0.0209632,0.0308935
32,0.0247847,0,0,0,0,0.0444359,0,0,0,0,0,0,0.0324717,0,0.0722623,0,0,0.0166244,0,0,0.0346989,0.0740224,0.021373,0.0118536,0.0165783,0.0281837,0.029179,0.0373567,0.0478861,0.0332876,0.014459,0.0158129,0.028709,0.0300987,0.0147281,0.0158526,0.00820886,0.0138977,0.0416269,0,0.0108098,0.0678422,0.0318796,0,0,0.026232,0,0,0.0251053,0.0521923,0.0326319,0.027935,0.0105863,0.0460479,0.0319709,0.035056,0.0639984,0.0256411,0.0658631,0.0383693,0.0439398,0.106859,0.015038,0.036293,0.0264139,0.0266329,0.0238858,0.020989,0.0309866
33,0.0247357,0,0,0,0,0.0444137,0,0,0,0,0,0,0.032413,0,0.0722626,0,0,0.0165371,0,0,0.0345019,0.0740087,0.0213125,0.0118311,0.0165921,0.0282237,0.0291929,0.0373769,0.0478918,0.0332688,0.0144153,0.0157158,0.028691,0.0300539,0.0147996,0.0158792,0.00816643,0.0138341,0.0415656,0,0.0107971,0.0678528,0.0318562,0,0,0.0262262,0,0,0.025102,0.0521946,0.0326651,0.0279279,0.0106073,0.0460499,0.03199,0.0350044,0.0640004,0.0256345,0.0658615,0.0383128,0.0437454,0.106836,0.0150618,0.0362986,0.0264338,0.0266069,0.0239644,0.0209853,0.0310218
34,0.0246853,0,0,0,0,0.044411,0,0,0,0,0,0,0.0323667,0,0.0722754,0,0,0.0165184,0,0,0.0344307,0.0739745,0.0211384,0.0117713,0.0166041,0.0282744,0.0291949,0.0374514,0.0479274,0.0332529,0.0143292,0.0157495,0.028677,0.0300242,0.0147949,0.0159107,0.00819241,0.0138167,0.0415632,0,0.0108213,0.0678744,0.0318538,0,0,0.0262176,0,0,0.025124,0.0522224,0.0326755,0.0279296,0.0106418,0.046057,0.0319937,0.0350053,0.06402,0.0256302,0.0658371,0.0383522,0.0438066,0.1068,0.0150875,0.0363173,0.0264355,0.0265537,0.0240288,0.0210046,0.031029
35,0.0242598,0,0,0,0,0.0442676,0,0,0,0,0,0,0.0321404,0,0.071306,0,0,0.0162205,0,0,0.0345568,0.0740009,0.0212438,0.0105517,0.016671,0.029118,0.0300478,0.0377814,0.047837,0.0328771,0.014317,0.01581,0.0282888,0.0295916,0.0153784,0.0155617,0.00778504,0.014077,0.0393534,0,0.0118145,0.0672714,0.0312356,0,0,0.0258244,0,0,0.02542,0.0542869,0.0292986,0.0251454,0.0131018,0.0450654,0.0319878,0.0338804,0.0613789,0.02451,0.0666403,0.0398411,0,0.10977,0.0147748,0.0359861,0.0260426,0.0260409,0.0247639,0.0207742,0.0313035
36,0.0246193,0,0,0,0,0.0444589,0,0,0,0,0,0,0.0322109,0,0.0721372,0,0,0.0166389,0,0,0.0344201,0.0739782,0.0211265,0.0116276,0.0166609,0.0284434,0.029063,0.0375755,0.048007,0.0332403,0.0142857,0.0156413,0.028706,0.0299576,0.0148447,0.0159241,0.00825881,0.0137156,0.0414506,0,0.0109473,0.0678652,0.0318884,0,0,0.0259909,0,0,0.0251709,0.0523024,0.0325742,0.0278737,0.0107698,0.0461884,0.0319006,0.03499,0.0639484,0.0255138,0.0657483,0.0385063,0.0444666,0.106886,0.0150139,0.0363513,0.0264334,0.0265593,0.0241203,0.0210571,0.0312441
37,0.0245869,0,0,0,0,0.0444165,0,0,0,0,0,0,0.0322019,0,0.0722403,0,0,0.0166426,0,0,0.0344172,0.0739883,0.0210862,0.0117131,0.0166478,0.0283628,0.0290714,0.0376047,0.0479959,0.0332252,0.0142832,0.0155882,0.0287277,0.0299253,0.0149003,0.0159248,0.00824949,0.01373,0.0417369,0,0.010806,0.06792,0.0318741,0,0,0.0259113,0,0,0.0252916,0.0522696,0.0327586,0.0279251,0.0107314,0.0461434,0.0319182,0.0350519,0.0640517,0.0255496,0.0656706,0.0384975,0.0450664,0.106743,0.015049,0.0364187,0.0265272,0.0265062,0.0241761,0.0210798,0.0313117
38,0.0245401,0,0,0,0,0.0444137,0,0,0,0,0,0,0.0321423,0,0.0722413,0,0,0.0166503,0,0,0.0344071,0.0739855,0.0209476,0.0116858,0.0165618,0.0283853,0.0291035,0.0376663,0.0480102,0.0331982,0.014235,0.0155476,0.0287091,0.0298905,0.0149777,0.0159054,0.0082574,0.0137532,0.0415894,0,0.010817,0.0679933,0.0318837,0,0,0.0257861,0,0,0.0254014,0.0523173,0.0327726,0.027913,0.0107315,0.0461702,0.0319374,0.0349715,0.0640507,0.0255067,0.0657354,0.0384643,0.0443805,0.106702,0.0150982,0.036441,0.0265193,0.0264651,0.024239,0.0210787,0.0313243
39,0.0244908,0,0,0,0,0.0444186,0,0,0,0,0,0,0.03207,0,0.0722297,0,0,0.0166529,0,0,0.034408,0.0739787,0.0208561,0.0116527,0.0165447,0.028426,0.0291332,0.037734,0.0480425,0.0331786,0.0142036,0.0155663,0.0286815,0.0298993,0.0149525,0.015896,0.00825715,0.0137868,0.0414833,0,0.0108299,0.0680207,0.031881,0,0,0.0257678,0,0,0.0253391,0.0523574,0.0327831,0.0278844,0.0107336,0.0462143,0.0320039,0.0349349,0.0640301,0.0254697,0.0657901,0.0384317,0.0439294,0.106686,0.0151335,0.0364433,0.0264768,0.0264351,0.0242965,0.021097,0.0313563
40,0.0244581,0,0,0,0,0.0444171,0,0,0,0,0,0,0.0320158,0,0.0722241,0,0,0.0166217,0,0,0.0343987,0.0739588,0.0209312,0.0116301,0.0165999,0.0284673,0.0291811,0.0377919,0.0480841,0.033166,0.014185,0.0155632,0.0286953,0.0298928,0.0149676,0.0159014,0.0082492,0.0138108,0.0414635,0,0.0108149,0.0680339,0.0318857,0,0,0.0257734,0,0,0.0252972,0.0523775,0.0328005,0.0278619,0.0107262,0.0462448,0.0320258,0.0349719,0.06403,0.0254371,0.0658033,0.0384121,0.0438804,0.106687,0.0151458,0.0364185,0.0264334,0.0264287,0.0243412,0.0211142,0.0313815
41,0.0244214,0,0,0,0,0.0443922,0,0,0,0,0,0,0.0319547,0,0.0722238,0,0,0.0165821,0,0,0.0343975,0.0739506,0.0210345,0.0116211,0.0166161,0.0284965,0.0291469,0.0378165,0.0480872,0.033163,0.0141809,0.0155639,0.0287068,0.0298762,0.0150413,0.0159133,0.00823441,0.0138164,0.0414601,0,0.0108054,0.0680496,0.0318885,0,0,0.0257214,0,0,0.0252997,0.0523807,0.0328126,0.0278667,0.0107391,0.0462644,0.0319895,0.0350111,0.064047,0.025403,0.0657868,0.0384433,0.0439325,0.106666,0.0151473,0.0363598,0.0264192,0.0264002,0.0243893,0.0211078,0.031385
42,0.0243889,0,0,0,0,0.0443851,0,0,0,0,0,0,0.0319213,0,0.0722236,0,0,0.0165448,0,0,0.0343575,0.0739515,0.0209517,0.0116014,0.0166129,0.0285426,0.0291556,0.0378526,0.0481098,0.0331744,0.0141576,0.0155717,0.0286765,0.0298576,0.0150989,0.0159168,0.00820512,0.0138044,0.0414495,0,0.0108306,0.0680456,0.0318868,0,0,0.0256202,0,0,0.0253019,0.0523902,0.0328473,0.0278896,0.0107546,0.0463003,0.0319726,0.0350309,0.0640582,0.0254109,0.0657699,0.0384398,0.0439489,0.106659,0.0151615,0.0363117,0.0263859,0.0263815,0.0244453,0.0211076,0.0312993
43,0.0243606,0,0,0,0,0.0443962,0,0,0,0,0,0,0.0318865,0,0.0722122,0,0,0.0165186,0,0,0.0343263,0.0739635,0.0209043,0.0116118,0.0166274,0.028594,0.02923,0.0378407,0.0481309,0.0331867,0.0141397,0.0155496,0.0286393,0.0298216,0.0151512,0.0159324,0.00819074,0.0137925,0.0414158,0,0.0108374,0.0679738,0.0318798,0,0,0.0255743,0,0,0.0252123,0.0523968,0.0328829,0.0279337,0.0107557,0.0463373,0.0320043,0.0350616,0.0640587,0.0254155,0.0657532,0.0384224,0.04395,0.106665,0.0151863,0.0362762,0.0263355,0.0263842,0.0245085,0.0211235,0.031187
44,0.024329,0,0,0,0,0.0444065,0,0,0,0,0,0,0.0318785,0,0.0722003,0,0,0.0165177,0,0,0.0343268,0.0739381,0.0208442,0.0116088,0.0166505,0.0286358,0.0292961,0.0378462,0.0481655,0.0331981,0.0141069,0.0154474,0.0285958,0.0297707,0.0152232,0.0159278,0.00820173,0.0138199,0.0414013,0,0.010797,0.0679201,0.0319236,0,0,0.0255124,0,0,0.0251689,0.0524328,0.032876,0.0279611,0.010772,0.0463961,0.0320487,0.0350403,0.0640715,0.0253738,0.0657739,0.0384066,0.0439137,0.106658,0.0151925,0.0362808,0.0262788,0.0264422,0.0245291,0.0210883,0.0313132
